index_content,word,nature,content_type,index_word
11,前,f,pos,0
11,天下,s,pos,1
11,单买,v,pos,2
11,用上,v,pos,3
11,发现,v,pos,4
11,街上,s,pos,5
11,卖,v,pos,6
11,便宜,a,pos,7
11,店家,n,pos,8
11,网上,s,pos,9
11,他家,r,pos,10
11,贵,a,pos,11
11,老板,n,pos,12
11,面,n,pos,13
11,网上,s,pos,14
71,正品,n,pos,0
71,无疑,d,pos,1
71,信奈,nr,pos,2
71,第一次,m,pos,3
71,网购,n,pos,4
71,电,n,pos,5
71,售后服务,l,pos,6
71,很快,d,pos,7
71,上门,ns,pos,8
71,安装,v,pos,9
71,安装,v,pos,10
71,费用,n,pos,11
71,太贵,nr,pos,12
71,热水,n,pos,13
71,接到,v,pos,14
71,洗脸盆,l,pos,15
71,太阳能,n,pos,16
71,管道,n,pos,17
71,改造,v,pos,18
71,总共,b,pos,19
71,花,v,pos,20
71,安装,v,pos,21
71,材料,n,pos,22
71,详细,ad,pos,23
71,单子,n,pos,24
71,坑,n,pos,25
71,商城,ns,pos,26
71,封顶,n,pos,27
71,太,d,pos,28
71,高,a,pos,29
71,语,ng,pos,30
71,感觉,n,pos,31
71,宰,v,pos,32
71,安装,v,pos,33
71,材料,n,pos,34
71,透明,v,pos,35
71,换,v,pos,36
71,混,v,pos,37
71,水阀,n,pos,38
71,很贵,a,pos,39
71,划算,v,pos,40
71,机器,n,pos,41
71,倒,v,pos,42
71,便宜,a,pos,43
71,热水,n,pos,44
71,倒,v,pos,45
71,从度,d,pos,46
71,度用,v,pos,47
71,小时,n,pos,48
71,分钟,q,pos,49
71,洗澡,v,pos,50
71,费水,n,pos,51
71,升,zg,pos,52
71,太小,n,pos,53
71,洗,v,pos,54
71,半小时,b,pos,55
71,三十度,mq,pos,56
71,空间,n,pos,57
71,有限,a,pos,58
71,要买,v,pos,59
71,大点,n,pos,60
71,容量,n,pos,61
77,品牌,n,pos,0
77,选择,v,pos,1
77,品牌,n,pos,2
77,售后,n,pos,3
77,质量,n,pos,4
77,保障,v,pos,5
77,千元,m,pos,6
77,购买,v,pos,7
