index_content,word,nature,content_type,index_word
1,东西,ns,pos,0
1,收到,v,pos,1
1,这么久,r,pos,2
1,忘,v,pos,3
1,好评,v,pos,4
1,品牌,n,pos,5
1,值得,v,pos,6
1,信赖,n,pos,7
1,东西,ns,pos,8
1,整体,n,pos,9
1,个人感觉,n,pos,10
1,不错,a,pos,11
1,值得,v,pos,12
1,拥有,v,pos,13
2,安装,v,pos,0
2,师傅,nr,pos,1
2,力,n,pos,2
2,感谢,v,pos,3
4,收到,v,pos,0
4,自营,vn,pos,1
4,商品,n,pos,2
4,发货,n,pos,3
4,速度,n,pos,4
4,品质,n,pos,5
4,保障,v,pos,6
4,安装,v,pos,7
4,效果,n,pos,8
4,宝贝,nr,pos,9
4,喜欢,v,pos,10
4,冬天,t,pos,11
4,小时,n,pos,12
4,热水,n,pos,13
4,自营,vn,pos,14
4,值得,v,pos,15
4,信赖,n,pos,16
4,值得,v,pos,17
4,推荐,v,pos,18
4,自营,vn,pos,19
5,几次,m,pos,0
5,评价,n,pos,1
5,产品,n,pos,2
5,满意,v,pos,3
5,加热,v,pos,4
5,保温,n,pos,5
5,时间,n,pos,6
5,长,a,pos,7
5,售后服务,l,pos,8
5,特别,d,pos,9
5,主动,b,pos,10
5,打电话,l,pos,11
5,询问,v,pos,12
5,送货,v,pos,13
5,情况,n,pos,14
5,帮,v,pos,15
5,安装,v,pos,16
5,非常感谢,i,pos,17
5,售后,n,pos,18
5,大姐,n,pos,19
5,服务,vn,pos,20
5,下次,t,pos,21
5,购买,v,pos,22
6,物美价廉,l,pos,0
6,特别,d,pos,1
6,划算,v,pos,2
6,加热,v,pos,3
6,速度,n,pos,4
6,家里,s,pos,5
6,不错,a,pos,6
6,特别,d,pos,7
10,安装,v,pos,0
10,小哥,n,pos,1
10,工作,vn,pos,2
10,尽心,d,pos,3
10,家,m,pos,4
10,老房子,n,pos,5
10,安装,v,pos,6
10,家,m,pos,7
10,费力,n,pos,8
10,安装,v,pos,9
10,不错,a,pos,10
10,整栋,m,pos,11
10,楼,n,pos,12
10,热水,n,pos,13
10,裙子,n,pos,14
10,只能,v,pos,15
10,装,v,pos,16
10,小哥,n,pos,17
10,点,m,pos,18
10,赞,v,pos,19
10,二个,m,pos,20
10,一如既往,i,pos,21
10,好用,v,pos,22
10,品牌,n,pos,23
10,质量,n,pos,24
13,购物,n,pos,0
13,电器,n,pos,1
13,问,v,pos,2
13,型号,n,pos,3
13,型号,n,pos,4
13,相识,v,pos,5
13,家电,j,pos,6
13,下线,n,pos,7
13,安装,v,pos,8
13,师傅,nr,pos,9
13,挺好,a,pos,10
13,加热,v,pos,11
13,很快,d,pos,12
13,购物,n,pos,13
13,满意,v,pos,14
13,走用,v,pos,15
13,安装费,n,pos,16
13,花元,nr,pos,17
13,喷头,v,pos,18
13,槊,g,pos,19
13,料,n,pos,20
13,花,v,pos,21
13,伞,n,pos,22
13,安装,v,pos,23
13,麻烦,an,pos,24
15,满意,v,pos,0
15,价格,n,pos,1
15,产品质量,n,pos,2
15,货运,n,pos,3
15,安装,v,pos,4
15,调试,vn,pos,5
15,工作人员,n,pos,6
15,服务态度,n,pos,7
15,售后服务,l,pos,8
16,收费,n,pos,0
16,安装,v,pos,1
16,速度,n,pos,2
16,很快,d,pos,3
16,管道,n,pos,4
16,走,v,pos,5
16,整齐,d,pos,6
16,不错,a,pos,7
17,几天,m,pos,0
17,想,v,pos,1
17,晒,v,pos,2
17,差点,n,pos,3
17,忘,v,pos,4
17,这款,r,pos,5
17,喜欢,v,pos,6
19,不错,a,pos,0
19,安装,v,pos,1
19,人员,n,pos,2
19,专业,n,pos,3
19,值得,v,pos,4
19,信赖,n,pos,5
22,真心,d,pos,0
22,感觉,n,pos,1
22,不错,a,pos,2
22,装,v,pos,3
22,当晚,t,pos,4
22,三个,m,pos,5
22,冲凉,a,pos,6
22,热水,n,pos,7
22,没用,v,pos,8
22,好评,v,pos,9
23,真心,d,pos,0
23,不错,a,pos,1
23,喜欢,v,pos,2
23,品牌,n,pos,3
23,赞,v,pos,4
25,完美,a,pos,0
25,不用,v,pos,1
25,天天,t,pos,2
25,太阳,ns,pos,3
27,质量,n,pos,0
27,不错,a,pos,1
27,暖水,n,pos,2
27,挺快,v,pos,3
27,支持,v,pos,4
29,凌晨,t,pos,0
29,一点,m,pos,1
29,下单,n,pos,2
29,点,m,pos,3
29,送到,v,pos,4
29,点,m,pos,5
29,员工,n,pos,6
29,上门,ns,pos,7
29,安装,v,pos,8
29,速度,n,pos,9
29,效率,n,pos,10
29,扛,v,pos,11
29,扛,v,pos,12
29,特别,d,pos,13
29,赞扬,v,pos,14
29,安装,v,pos,15
29,师傅,nr,pos,16
29,特别,d,pos,17
29,专业,n,pos,18
29,进门,v,pos,19
29,换上,v,pos,20
29,鞋套,n,pos,21
29,安装,v,pos,22
29,过程,n,pos,23
29,弄脏,n,pos,24
29,地方,n,pos,25
29,擦,v,pos,26
29,干净,a,pos,27
29,好评,v,pos,28
29,试用,vn,pos,29
29,量,n,pos,30
29,两三个,m,pos,31
29,人用,n,pos,32
29,合适,a,pos,33
30,东西,ns,pos,0
30,不错,a,pos,1
30,价格,n,pos,2
30,实惠,vn,pos,3
30,试,v,pos,4
30,加热,v,pos,5
30,很快,d,pos,6
30,省,n,pos,7
30,电,n,pos,8
30,老爸,n,pos,9
30,很大,a,pos,10
30,气,n,pos,11
30,遥控,vn,pos,12
30,灵敏,nr,pos,13
30,客服,n,pos,14
30,负责,v,pos,15
30,安装,v,pos,16
30,花,v,pos,17
30,规范,n,pos,18
30,强烈推荐,i,pos,19
31,十四号,m,pos,0
31,送到,v,pos,1
31,电话,n,pos,2
31,师傅,nr,pos,3
31,安装,v,pos,4
31,师傅,nr,pos,5
31,态度,n,pos,6
31,不错,a,pos,7
31,干活,a,pos,8
31,细致,a,pos,9
31,拆,v,pos,10
31,几年,m,pos,11
31,没擦,v,pos,12
31,墙面,n,pos,13
31,擦,v,pos,14
31,干净,a,pos,15
31,赞,v,pos,16
31,收费,n,pos,17
31,块钱,n,pos,18
31,装,v,pos,19
31,没用,v,pos,20
31,海尔,nrt,pos,21
31,四年,m,pos,22
31,漏水,n,pos,23
31,售后,n,pos,24
31,内胆,n,pos,25
31,漏,v,pos,26
31,修,v,pos,27
31,新,a,pos,28
31,保修,v,pos,29
31,八年,t,pos,30
31,总体,n,pos,31
31,不错,a,pos,32
31,好评,v,pos,33
32,满意,v,pos,0
32,售后,n,pos,1
32,认真负责,n,pos,2
32,货物,n,pos,3
32,到达,v,pos,4
32,目的地,n,pos,5
32,咨询,vn,pos,6
32,安装,v,pos,7
32,事宜,n,pos,8
32,指导,n,pos,9
32,安装,v,pos,10
32,人员,n,pos,11
32,到场,d,pos,12
32,厂家,n,pos,13
32,感觉,n,pos,14
32,不愧,a,pos,15
32,销量,n,pos,16
32,高,a,pos,17
32,安装,v,pos,18
32,人员,n,pos,19
32,讲解,v,pos,20
32,细致,a,pos,21
32,从头到尾,i,pos,22
32,满分,d,pos,23
32,好评,v,pos,24
33,质量,n,pos,0
33,卖家,n,pos,1
33,描述,v,pos,2
33,完全一致,i,pos,3
33,满意,v,pos,4
33,真的,d,pos,5
33,喜欢,v,pos,6
33,超出,v,pos,7
33,期望值,n,pos,8
33,发货,n,pos,9
33,速度,n,pos,10
33,包装,v,pos,11
33,仔细,ad,pos,12
33,严实,ad,pos,13
33,物流,n,pos,14
33,公司,n,pos,15
33,服务态度,n,pos,16
33,运送,v,pos,17
33,速度,n,pos,18
33,很快,d,pos,19
33,满意,v,pos,20
33,购物,n,pos,21
35,收到,v,pos,0
35,安装,v,pos,1
35,挺好用,a,pos,2
35,质量,n,pos,3
35,不错,a,pos,4
35,安装工人,l,pos,5
35,服务态度,n,pos,6
35,教给,vn,pos,7
35,快递,v,pos,8
35,挺快,v,pos,9
35,满意,v,pos,10
36,一段时间,l,pos,0
36,总体,n,pos,1
36,感觉,n,pos,2
36,不错,a,pos,3
36,保温,n,pos,4
36,性能,n,pos,5
36,遥控器,n,pos,6
36,功能,n,pos,7
36,小孩子,n,pos,8
36,值得,v,pos,9
36,推荐,v,pos,10
39,速度,n,pos,0
39,第一次,m,pos,1
39,订单,n,pos,2
39,点,q,pos,3
39,事故,n,pos,4
39,地址,n,pos,5
39,选错,v,pos,6
39,区域,n,pos,7
39,幸好,a,pos,8
39,客服,n,pos,9
39,帮忙,v,pos,10
39,活动,vn,pos,11
39,价格比,n,pos,12
39,平时,t,pos,13
39,优惠,vn,pos,14
39,安装,v,pos,15
39,热水,n,pos,16
39,很快,d,pos,17
39,功耗,n,pos,18
39,牌子,n,pos,19
39,安装,v,pos,20
39,师傅,nr,pos,21
39,安装,v,pos,22
39,材料,n,pos,23
39,报表,n,pos,24
39,报表,n,pos,25
39,打勾,nz,pos,26
39,完美,a,pos,27
40,每次,r,pos,0
40,喜欢,v,pos,1
40,东西,ns,pos,2
40,几天,m,pos,3
40,几天,m,pos,4
40,特别,d,pos,5
40,放心,v,pos,6
40,品牌,n,pos,7
40,简单,a,pos,8
40,漂亮,a,pos,9
40,喜欢,v,pos,10
40,侧面,f,pos,11
40,安装,v,pos,12
40,主动,b,pos,13
40,打电话,l,pos,14
40,问,v,pos,15
40,价格,n,pos,16
40,明,a,pos,17
40,我家,r,pos,18
40,旧,a,pos,19
40,拆下来,v,pos,20
40,换,v,pos,21
40,新,a,pos,22
40,安装,v,pos,23
40,师傅,nr,pos,24
40,很快,d,pos,25
40,弄,v,pos,26
40,态度,n,pos,27
40,手脚,n,pos,28
40,麻利,nr,pos,29
40,花,v,pos,30
40,块钱,n,pos,31
40,拆,v,pos,32
40,旧机,n,pos,33
40,管子,n,pos,34
40,钱,n,pos,35
40,仔细,ad,pos,36
